city,rank,name,stars,review_count,checkin_count,combined_score
Andalusia,1,Chi Auto Repair,4.5,39,36,0.361753101834763
Antioch,1,Shineworthy Tea,5.0,18,40,0.40094366259770475
Antioch,2,Get your Grub on,5.0,22,8,0.40091811941171857
Antioch,3,Mr & Mrs Empanada,5.0,13,39,0.400739706339316
Antioch,4,HMC Contracting,5.0,18,0,0.40071353065539117
Antioch,5,Bikini Beach Bar,5.0,12,23,0.4006080129704244
Apollo Beach,1,Zuzack Lawn Services,5.0,31,2,0.4012403649480671
Apollo Beach,2,Faith Latin Cuisine,5.0,17,37,0.400886762110065
Apollo Beach,3,Pinch A Penny Pool Patio Spa,5.0,14,54,0.40086564640964983
Apollo Beach,4,The Mullet Shack,5.0,11,15,0.40052234598999553
Apollo Beach,5,Manatee Viewing Center,4.5,212,476,0.3711423756103605
Arabi,1,St Bernard Indoor Shooting Center,5.0,66,167,0.4035770799289267
Arabi,2,40 Arpent Brewing,5.0,16,28,0.40079534183107834
Arabi,3,Fry and Pie,4.5,175,204,0.3681107764998797
Arabi,4,Stella Maris Restaurant & Hookah Lounge,4.5,78,97,0.3636500361334721
Arabi,5,The Kitchen Table Cafe,4.5,53,37,0.3623138234208473
Arden,1,Oddporium,4.5,11,8,0.3604820729000907
Ardmore,1,Sesami,5.0,78,53,0.4033968909969271
Ardmore,2,Elegant Brow Bar,5.0,52,30,0.40223390973897627
Ardmore,3,Autana Authentic Venezuelan Food,5.0,53,23,0.4022332772410375
Ardmore,4,Pala'a Latin American Seafood,5.0,52,19,0.40217062345484
Ardmore,5,Parlour Ice Cream,5.0,31,59,0.40156830296586393
Arizona,1,Dream Dance,5.0,11,8,0.4004820729000907
Arnold,1,Arnold Smiles,5.0,24,11,0.40101466049132445
Arnold,2,STL Beds,5.0,21,4,0.40085546562552105
Arnold,3,K9 Packleader,5.0,13,0,0.40051532769556025
Arnold,4,Julie's Little Kitchen,5.0,12,2,0.4004871937007098
Arnold,5,Five Star Auto Body,5.0,12,0,0.4004756871035941
Ashland,1,Don Pancho Mexican Restaurant-Ashland City,3.0,27,38,0.2412889213282846
Ashland City,1,Sheyegirl Coffee,5.0,13,19,0.4006246403681592
Ashland City,2,Laredo's Burrito and Taco Shop,5.0,14,5,0.40058373478031567
Ashland City,3,Marrowbone Creek Brewing,5.0,11,10,0.4004935794972064
Ashland City,4,Cody's Diner,4.5,36,20,0.3615421272819391
Ashland City,5,Mama D's,4.5,13,6,0.3605498474869073
Aston,1,Five Paws of Delaware County,5.0,19,0,0.4007531712473573
Aston,2,Innovative Muscle Therapy & Pain Center,5.0,15,0,0.4005946088794926
Aston,3,Big Bad Wolf Barbeque,4.5,117,85,0.3651269796374587
Aston,4,Taste Budz Cafe,4.5,78,85,0.36358099655077797
Aston,5,2SP Brewing Company,4.5,40,152,0.36246012505943864
Atco,1,Amalthea Cellars Farm Winery,4.5,53,69,0.3624979289746982
Atco,2,Tech To Trade Computer Repair & Trading Post,4.5,12,3,0.36049294699926765
Atco,3,Fabios Pizza,4.0,21,8,0.32087847881975246
Atco,4,Atco Brewing Company,4.0,17,26,0.32082347582592885
Atco,5,China Max,4.0,17,5,0.3207026565562142
Audubon,1,Desserts by Design,5.0,46,41,0.4020593524713154
Audubon,2,"Cousin’s Deli, Grill & Catering",5.0,13,3,0.4005325875912338
Audubon,3,SoulBeat Spin And Barre Studio,5.0,12,7,0.400515960193499
Audubon,4,Zwahlen's Ice Cream & Chocolate,4.5,189,641,0.37117993625718215
Audubon,5,Smoke BBQ,4.5,140,80,0.36600994675989146
Audubon ,1,LesbiVeggies,4.5,52,5,0.3620900772750303
Avon,1,Danny's Mexican Ice Cream,5.0,85,73,0.40378944111184706
Avon,2,Seerat Kaur - Stiching House,5.0,46,8,0.4018694936189067
Avon,3,Trimz On a Whim,5.0,34,54,0.4016584582489733
Avon,4,Rise’n Roll Bakery,5.0,24,25,0.4010952066711342
Avon,5,Discount Tire,5.0,22,15,0.4009583925016234
Avondale,1,Be Here Brewing Company,4.5,18,14,0.3607940768352009
Avondale,2,Earl's Sub Shop,4.5,15,21,0.36071542814920726
Avondale,3,Sake Hana,4.0,90,172,0.32455722062890413
Avondale,4,NOLA Motorsports Park,4.0,55,199,0.32332513897114973
Avondale,5,Va La Vineyards,4.0,65,110,0.3232095013191637
BOISE AP,1,Thrifty Car Rental,2.0,17,18,0.16077744943746608
BRANDON,1,IHOP,2.5,54,114,0.20279646800176712
Bala Cynwyd,1,MdM Locksmith,5.0,49,1,0.40194814230490034
Bala Cynwyd,2,EcoLandscapes Design,5.0,34,0,0.4013477801268499
Bala Cynwyd,3,Bossy Brows,5.0,21,1,0.4008382057298475
Bala Cynwyd,4,Ultimate Health and Chiropractic Center,5.0,17,9,0.40072566975044555
Bala Cynwyd,5,Berri Healthy,5.0,14,0,0.40055496828752646
Ballwin,1,Barrett Station Veterinary Clinic,5.0,24,22,0.40107794677546066
Ballwin,2,Dent Devil Ballwin,5.0,24,3,0.4009686341028617
Ballwin,3,Off The Leash Dog Grooming,5.0,16,8,0.40068027585992155
Ballwin,4,Novak Jewelers,5.0,14,7,0.40059524137743135
Ballwin,5,Monsoon Vietnamese Bistro,4.5,180,440,0.36966675791936077
Balm,1,Goodson Farms,4.5,104,144,0.36495109655681096
Bargersville,1,Roku Sushi & Pho,4.0,71,34,0.3230100941805649
Bargersville,2,The Sycamore at Mallow Run,4.0,15,23,0.32072693474632297
Barnhart,1,Karsch's village market,2.0,20,8,0.16083883822778622
Barrington,1,Sushi House,4.5,60,71,0.3627869197155771
Barrington,2,Royal Fitness,4.5,18,247,0.36213459539917764
Barrington,3,The Kaffee Korner,4.5,36,49,0.36170897294011645
Barrington,4,Timeout Entertainment and Grill,4.5,25,25,0.36113484726310036
Barrington,5,Little Jalapeno,4.5,19,1,0.3607589245459152
Bayonet Point,1,Ollie's Bargain Outlet,4.0,13,8,0.32056135408402303
Bayonet Point,2,Denny's,3.0,38,42,0.24174798103414386
Bayonet Point,3,Tires Plus,2.0,12,2,0.1604871937007098
Bear,1,Tai Chi Spa,3.5,13,5,0.2805440941883494
Bear,2,Animal Veterinary Center,3.5,11,1,0.28044179981018574
Bear,3,Delaware Moving & Storage,1.5,21,0,0.12083245243128964
Beaumont,1,Chartier,4.5,169,70,0.3671019909413321
Beaumont,2,Maina's Donair,4.0,12,10,0.32053322008917257
Beech Grove,1,Katsumi's Teaching Kitchen,5.0,21,15,0.40091875190965726
Beech Grove,2,Our Backyard Flower Shop,5.0,11,1,0.4004417998101858
Beech Grove,3,Rustic Root,4.5,28,35,0.3613113020245773
Beech Grove,4,Victory Rolls and Baked Goods,4.5,26,17,0.3611284614666038
Beech Grove,5,El Morral Mexican Restaurant,4.5,23,15,0.36099803309358963
"Beech Grove,",1,Rosebud Flowers & Gifts Indianapolis,4.5,11,1,0.3604417998101858
Bel Ridge,1,QuikTrip,3.5,16,139,0.2814339579709985
Bellair,1,Stefanec's South Barber Shop,4.5,11,23,0.3605683723784583
Belle Chase,1,Domino's Pizza,3.5,13,22,0.2806419002638327
Belle Chase,2,PJ's Coffee,3.0,25,125,0.24171017711888432
Belle Chasse,1,Take 5 Oil Change,5.0,16,29,0.4008010951296362
Belle Chasse,2,We Blend Cafe,5.0,13,4,0.4005383408897916
Belle Chasse,3,La23 Bbq,4.5,144,220,0.36697397092585377
Belle Chasse,4,Dairy Dip,4.5,34,95,0.3618943434898447
Belle Chasse,5,Tranquil Salon & Spa,4.5,23,76,0.3613489843056179
Belle Meade,1,Sam's Place - Belle Meade,4.0,119,170,0.32569529119880747
Belle Meade,2,37 Degrees Sth,4.0,62,91,0.32298126687066625
Belle Meade,3,The Wine Chap,4.0,20,70,0.3211955427383723
Belle Meade,4,Office Depot,2.5,16,63,0.20099670728060268
Belleair,1,Kate Yoga,5.0,20,12,0.4008618514220175
Belleair,2,Belleview Inn,4.5,11,3,0.3604533064073015
Belleair Beach,1,Belleair Beach,4.5,20,501,0.36367521441680123
Belleair Beach,2,Belleair Beach Resort Motel,3.5,18,22,0.2808401032236636
Belleair Beach,3,Belleair Beach Club,3.5,12,51,0.2807691053300439
Belleair Blf,1,Bluffs Animal Hospital,4.0,17,2,0.3206853966605407
Belleair Blf,2,Le Bouchon,3.5,15,9,0.28064638856651314
Belleair Blf,3,Cody's Original Roadhouse,2.5,160,385,0.20855751465935607
Belleair Bluffs,1,William Dean Chocolates,4.5,123,208,0.36607247891187006
Belleair Bluffs,2,Belleair Coffee Company,4.5,94,164,0.3646697566083061
Belleair Bluffs,3,Chez Colette,4.5,61,62,0.36277478062052265
Belleair Bluffs,4,Astoria Pastry Shop,4.5,49,78,0.362391146293854
Belleair Bluffs,5,Jewel Cafe & Tea Room,4.5,36,94,0.36196787137521924
Belleville,1,Balance Coffee and Tea,5.0,69,91,0.40325875101442943
Belleville,2,Grappa Growlers,5.0,11,21,0.4005568657813426
Belleville,3,C And C Food For Your Soul,5.0,12,6,0.40051020689494116
Belleville,4,BEAST Craft BBQ,4.5,583,496,0.3859641012009677
Belleville,5,Casa Maria Mexican Grill,4.5,161,122,0.3670840377306104
Bellevue,1,Red Spirits & Wine,4.5,62,316,0.3642757590461802
Bellevue,2,Iroquois Wine & Spirits,4.5,16,47,0.3609046545036773
Bellevue,3,Publicity,4.0,233,400,0.3315375773512544
Bellevue,4,Penn Station East Coast Subs,4.0,56,154,0.3231058811280131
Bellevue,5,Tito's Mexican Restaurant - Bellevue,4.0,42,17,0.32176271093806263
Bellmawr,1,Agave,4.5,46,35,0.3620248326799684
Bellmawr,2,Paradise Pizza,4.5,33,17,0.36140594561036704
Bellmawr,3,Somerdale Auto Collision,4.5,17,4,0.36069690325765635
Bellmawr,4,Dominic's Tavern,4.0,151,355,0.3280281503749254
Bellmawr,5,Carmen's Deli,4.0,151,162,0.3269177637532623
Belmont Hills,1,Cotoletta,4.5,41,19,0.3617345769432121
Belmont Hills,2,Philadelphia Insurance Companies,1.5,17,1,0.12067964336198278
Bensalem,1,Pellegrino’s Salon And Suite,5.0,19,11,0.4008164575314936
Bensalem,2,Diverse Catering and Event Design,5.0,19,0,0.4007531712473573
Bensalem,3,M. Rani Eyebrow Threading & Spa,5.0,18,4,0.40073654384962254
Bensalem,4,Thulasi,5.0,16,14,0.40071479565126855
Bensalem,5,1675 Spirits,5.0,13,9,0.40056710738258083
Bensalem Township,1,Honest Restaurant,3.5,57,41,0.2824953989829433
Bensalem Township,2,Xcite Center,3.5,50,31,0.2821603818536017
Bensalem Township,3,All In Adventures Escape Rooms - Bensalem Township,3.0,14,2,0.2405664748846421
Bensalem. Pa,1,Annabella's Italian Restaurant,4.0,55,34,0.32237584470910613
Berkeley,1,Lambert International Airport Cell Phone Lot Terminal 2,4.0,13,122,0.3212172301196167
Berkeley,2,Big Boyz Burgers and More,4.0,22,5,0.3209008595160451
Berkeley,3,Waffle House,3.5,48,184,0.28296135534901884
Berkeley,4,White Castle,2.5,22,48,0.20114825135403214
Berkeley,5,TJ's Sweetie Pies,2.5,11,10,0.2004935794972063
Berlin,1,Parrilla La Nueva Fogata,4.5,212,283,0.37003198898869744
Berlin,2,Maria's Mexican Restaurant,4.5,100,62,0.36432076370720345
Berlin,3,Sundaes,4.5,79,87,0.3636321437398598
Berlin,4,Mera Khana Restaurant,4.5,59,38,0.3625574202712022
Berlin,5,Bringhurst Meats,4.5,32,38,0.36148712428811547
Berlin Township,1,Pho Le,4.0,110,121,0.3250566142417778
Berlin Township,2,Pineapple Asian Restaurant,4.0,27,16,0.32116234876001215
Berry Hill,1,One10 Beauty House,5.0,26,30,0.40120325434785575
Berry Hill,2,Brothers Burger Joint,4.5,223,144,0.3696683270007856
Berry Hill,3,Little Gourmand,4.5,21,12,0.36090149201398375
Berry Hill,4,The Loving Pie Company,4.0,90,156,0.3244651678519787
Berwyn,1,Marshall's Market,5.0,22,23,0.40100441889008615
Berwyn,2,Endless Tan,5.0,20,4,0.40081582503355484
Berwyn,3,Conestoga Collision,5.0,15,0,0.4005946088794926
Berwyn,4,Jim's Berwyn Sunoco,5.0,11,1,0.4004417998101858
Berwyn,5,Handel's Homemade Ice Cream,4.5,197,358,0.36986887750104286
Bethalto,1,New China,4.5,28,51,0.36140335480150276
Bethalto,2,Imo's Pizza,2.5,18,14,0.2007940768352009
Bethel,1,Grecian Delights,4.0,16,48,0.3209104078022352
Bethel Township,1,Chamberlain's Roast Beef,3.0,31,26,0.24137844411345522
Beverly,1,La Lus Cafe,4.5,21,4,0.36085546562552107
Beverly,2,Deli & Pizza Shop,4.5,13,5,0.3605440941883495
Beverly,3,Holiday Ice Cream,4.0,32,73,0.3216884897376399
Beverly,4,China Wok,4.0,18,8,0.32075955704385395
Beverly,5,New Hong Kong Chinese Restaurant,4.0,15,6,0.3206291286708397
Birchrunville,1,Butterscotch Pastry Shop,5.0,46,23,0.4019557930972743
Birchrunville,2,Birchrunville Store Cafe,4.0,81,46,0.32347553968292075
Black Jack,1,Bloomers Florist & Gifts,2.5,17,9,0.2007256697504455
Blackwood,1,Harrys Tires,5.0,14,4,0.4005779814817578
Blackwood,2,Sal's Pizza & Italian Restaurant,4.5,44,37,0.3619570580931517
Blackwood,3,Techniques Salon & Spa,4.5,34,30,0.36152037908358514
Blackwood,4,Iceland,4.5,25,24,0.3611290939645425
Blackwood,5,Blair Mountain Biscuit,4.5,24,8,0.36099740059565094
Blackwood ,1,Fat Jack's BBQ,3.5,38,6,0.2815408622860616
Blooming Glen,1,Blooming Glen Catering,4.5,25,40,0.36122114674146794
Blue Bell,1,The Jeff Silva Team - Keller Williams Real Estate,5.0,21,0,0.4008324524312897
Blue Bell,2,Auto Spa and Car Wash,5.0,12,4,0.40049870029782547
Blue Bell,3,Revo Hair and Skin Bar,5.0,12,0,0.4004756871035941
Blue Bell,3,Vantage Point Financial Group,5.0,12,0,0.4004756871035941
Blue Bell,4,Harry's Blue Bell Taproom,4.5,131,183,0.3662457711836535
Blue Bell,5,Marhaba Blue Bell,4.5,64,188,0.363618618014709
Blvd,1,Mariposa,4.5,31,45,0.3614877567860542
Boise,1,A New Twist Balloons and Face Painting,5.0,276,36,0.4111479221307461
Boise,2,Bittercreek Alehouse,4.5,998,1767,0.40972738933394404
Boise,3,BA Locksmith & Security,5.0,135,6,0.40538599970678046
Boise,4,Goldy's Breakfast Bistro,4.5,949,1297,0.40508095000541683
Boise,5,Bent Nail Inspections,5.0,125,0,0.4049550739957717
Boise ,1,Spa Raquel,4.5,16,2,0.3606457560685745
Boise (Meridian),1,Staples,2.5,15,56,0.20091679359873166
Boise City,1,Lorena's Mexican Grill,4.5,77,56,0.3633745103006344
Boise City,2,Campos Market,4.0,72,88,0.32336041289465445
Boise City,3,Basilio's Mexican Tacos,4.0,64,69,0.32293397548632613
Boise City,4,TV's Nails And Spa,4.0,11,3,0.3204533064073015
Boise City,5,Stan's Char-Broiled Hot Dogs,3.5,15,29,0.28076145453766993
Boone,1,IHOP,2.0,29,10,0.16120711015259745
Boothwyn,1,Cajun Kate's,5.0,140,378,0.40772442973012774
Boothwyn,2,Mad Greek,4.5,75,25,0.36311687686140903
Boothwyn,3,Car-Mira's Deli,4.5,37,91,0.36199025207151186
Boothwyn,4,Chi Cafe,4.5,17,43,0.3609212819014121
Boothwyn,5,Oriental Pearl Restaurant,4.0,154,330,0.3280032396868779
Bordentown,1,Randy Now's Man Cave,5.0,24,48,0.4012275325379645
Bordentown,2,Meineke Car Care Center,5.0,14,1,0.4005607215860843
Bordentown,3,Toscano Ristorante,4.5,236,226,0.37065542517808875
Bordentown,4,HOB Tavern,4.5,108,259,0.36577128825882727
Bordentown,5,R W Tire,4.5,52,24,0.36219938994762924
Bosie,1,Bruneel Point S - Boise,3.5,13,4,0.28053834088979157
Boyertown,1,Cd's Place,5.0,18,41,0.4009494158962626
Boyertown,2,Firefly Cafe and Outpost,4.5,67,90,0.36317371653193925
Boyertown,3,Grind,4.5,53,19,0.3622102640468062
Boyertown,4,Frecon Farms,4.5,31,34,0.36142447050191795
Boyertown,5,Brakeman's Cafe,4.5,31,10,0.36128639133652984
Bradenton,1,American Honey Creamery & Coffee,5.0,17,7,0.40071416315332986
Brandon,1,South Pacific Grill,5.0,185,174,0.4083345834628062
Brandon,2,Hole in One Donuts - Brandon,5.0,85,65,0.4037434147233843
Brandon,3,FR Bottle Shop,5.0,68,153,0.4035758149330493
Brandon,4,The Stein & Vine,4.5,908,1300,0.40347294563047725
Brandon,5,LC's Cafe & Supper Club,5.0,75,70,0.4033757752965118
Breckenridge Hills,1,Nick & Elena's Pizzeria,3.5,85,80,0.28382971420175185
Breckenridge Hills,2,Pizza Hut,1.5,13,3,0.12053258759123377
Brentwood,1,Blondes By Erica,5.0,299,201,0.4130089500080117
Brentwood,2,The Poki,5.0,193,109,0.408277743792276
Brentwood,3,Pivotal Touch Healing,5.0,58,13,0.40237394721528996
Brentwood,4,Bonaventure Coffee,5.0,48,44,0.4021558935509213
Brentwood,5,ModerNash Furniture Supply,5.0,41,25,0.40176909673455913
Brentwood ,1,Fresno Permanent Makeup Microblading,4.5,27,3,0.36108755587876024
Brentwood - Cool Springs,1,Batteries Plus Bulbs,4.0,20,12,0.32086185142201756
Bridge City,1,Banting's Nursery,4.0,14,71,0.32096345248513314
Bridge City,2,Waffle House,3.0,11,20,0.24055111248278468
Bridgeport,1,Bella Capelli Salon,5.0,19,13,0.4008279641286092
Bridgeport,2,Suzy-Jo Donuts,4.5,89,136,0.3643104612888557
Bridgeport,3,Dino's Pizza & Pasta,4.5,71,51,0.3631079002560482
Bridgeport,4,Muffins,4.5,34,99,0.3619173566840761
Bridgeport,5,BHC Roofing,4.5,43,3,0.36172180535021903
Bridgeton,1,Prestige Electronics,5.0,26,4,0.4010536685853519
Bridgeton,2,Esther’s Persian Cafe,5.0,22,10,0.40092962600883425
Bridgeton,3,Gateway Gun Club,5.0,12,27,0.4006310261646558
Bridgeton,4,Big G Auto Service,5.0,14,4,0.4005779814817578
Bridgeton,5,La Tejana Taqueria,4.5,262,1325,0.3780089556842752
Bristol,1,Mazzanti's Market,5.0,74,19,0.4030427164780958
Bristol,2,Cafe Bombay Indian Cuisine,4.5,120,76,0.3651941217263367
Bristol,3,Calm Waters Coffee Roasters,4.5,104,144,0.36495109655681096
Bristol,4,Radcliffe Cafe,4.5,77,105,0.36365642192996855
Bristol,5,Jules@Market,4.5,82,33,0.363440387393635
Bristol Twp,1,D D Dairy Delite,4.5,14,25,0.3606988007514725
Bristol Twp,2,Wing Wah Chinese Restaurant,3.5,25,9,0.28104279448617486
Brookhaven,1,Burman's Health Shop,5.0,17,15,0.40076018954179254
Brookhaven,2,Brookhaven Auto Center,5.0,11,0,0.40043604651162795
Brookhaven,3,Phil & Jim's Delicatessen,4.5,95,82,0.3642376267185294
Brookhaven,4,Ro-Lynn Deli,4.5,47,62,0.36221981233299627
Brookhaven,5,ZW Sushi Land,4.5,30,6,0.3612237375503323
Brooklawn,1,AudioSonic Car Stereo,5.0,18,2,0.40072503725250685
Brooklawn,2,12 Oz Studios,4.5,18,27,0.3608688697164529
Brooklawn,3,John’s Pizza,4.0,26,12,0.32109969497381463
Brooklawn,4,Empire Diner,3.5,58,46,0.28256380606769865
Brooklawn,5,Clancy's By The Creek,3.5,21,41,0.28106833767216105
Brooklyn,1,The Pink Slip,3.0,12,54,0.24078636522571742
Broomall,1,Maki Motors,5.0,26,0,0.40103065539112054
Broomall,2,Man's Alternative,5.0,15,12,0.40066364846218666
Broomall,3,"Williamsburg Dental, PC",5.0,14,13,0.40062976116877835
Broomall,4,DePiano General Contractors,5.0,15,0,0.4005946088794926
Broomall,5,Steve Spiro Contracting,5.0,13,0,0.40051532769556025
Brownsburg,1,Mind Over Mash Brewing Company,5.0,24,24,0.40108945337257634
Brownsburg,2,The Ice Barn,5.0,18,33,0.4009033895077999
Brownsburg,3,Smokers Choice,5.0,16,17,0.4007320555469421
Brownsburg,4,Rudy's Watch & Jewelry Repair,5.0,14,9,0.40060674797454704
Brownsburg,5,Arbuckle Acres Park,5.0,12,18,0.4005792464776352
Bryn Athyn,1,Cairnwood Estate,5.0,18,71,0.4011220148529978
Bryn Athyn,2,Bryn Athyn Thrift Shop,4.5,18,14,0.3607940768352009
Bryn Athyn,3,American Wedding Group,1.5,11,0,0.1204360465116279
Bryn Mawr,1,Mrs.Ken Wax and Nail,5.0,70,34,0.4029704535885987
Bryn Mawr,2,Elevated Wellness,5.0,34,18,0.401451339500891
Bryn Mawr,3,"J & J Motors, Inc.",5.0,25,4,0.4010140279933857
Bryn Mawr,4,Visiting Angels,5.0,21,0,0.4008324524312897
Bryn Mawr,5,Sunset Moon Wellness Center - Superfoods Cafe,5.0,13,4,0.4005383408897916
Buckingham,1,Iris's Sweet Side,5.0,27,6,0.40110481577443374
Buckingham,2,GI Juice and Java,5.0,17,12,0.400742929646119
Buckingham,3,Mad Princes Brewing,4.5,25,26,0.3611406005616582
Buckingham,4,JustFood,4.5,18,59,0.3610529752703037
Buckingham,5,Buckingham Valley Vineyards & Winery,4.0,88,130,0.3242363009055425
Buckingham Township,1,Buckingham Green Nails & Spa,4.0,19,7,0.32079344433726226
Bucks,1,Falls Township Dog Park,4.0,16,21,0.3207550687411735
Bucks,2,Dominick's Pizzeria,4.0,16,13,0.32070904235271075
Bucks,3,Marisa Boutique,3.0,11,1,0.24044179981018574
Bucks County,1,Royal Moving Solutions,4.0,11,0,0.320436046511628
Bucks County,2,Celebrations,3.5,47,40,0.2820932397647237
Bucktown,1,Station 6,4.5,283,231,0.37254729949328813
Burlington,1,Evermore Coffee Roasters,5.0,50,52,0.4022812011233164
Burlington,2,VUTT Optical & Sunglasses,5.0,16,4,0.4006572626656902
Burlington,3,Davis Plumbing,5.0,12,7,0.400515960193499
Burlington,4,Bukhara Restaurant & Tandoori Grill,4.5,85,30,0.36354204927385997
Burlington,5,Jing’s Sushi House,4.5,52,26,0.3622108965447449
Burlington Township,1,Royal Auto Group,2.0,39,1,0.16155173638523865
Burlington Township,2,City Auto Park,2.0,13,4,0.16053834088979166
Burlington Township,3,TGI Fridays,1.5,110,183,0.12541331875236375
Bywater,1,The Cheezy Cajun,4.0,95,122,0.324467758660843
CHELTENHAM,1,Julies Nail Spa,3.5,23,13,0.2809865264964739
CLEARWATER,1,IHOP,3.0,63,130,0.2432452861063881
CLIFTON HEIGHTS,1,Denny's,2.0,63,70,0.16290008819291776
Cahokia,1,Sawmill BBQ,4.5,89,158,0.36443703385712817
Cahokia,2,Stingers,4.0,13,73,0.3209353184902826
Cahokia,3,Classic K Hamburgers,4.0,15,56,0.32091679359873165
Cahokia,4,Quality Inn & Suites Near St. Louis And I-255,3.0,14,23,0.24068729415435675
Cahokia,5,Walmart,2.0,13,20,0.16063039366671708
Caln,1,King Bagels,4.5,12,12,0.3605447266862882
Camby,1,Grandma's Oven,4.5,20,16,0.3608848646162489
Camby,2,Doctor Who North America,4.5,14,22,0.36068154085579895
Camby,3,Heavy's Sports Cafe,4.5,12,18,0.36057924647763523
Camby,4,The Links At Heartland Crossing,4.5,12,6,0.3605102068949412
Camby,5,Burrito's Home,4.0,15,33,0.3207844677319014
Camden,1,Vacord Screen Printing,5.0,19,0,0.4007531712473573
Camden,2,Fevzi's Mediterranean Grill,5.0,14,1,0.4005607215860843
Camden,3,Crabs Plus,5.0,12,6,0.40051020689494116
Camden,4,Bert's Steak & Sub House,5.0,11,7,0.40047631960153285
Camden,5,English Moving & Hauling,5.0,11,0,0.40043604651162795
Cane Ridge,1,Los Portales,3.0,42,31,0.2418432571178723
Cane Ridge,2,Waterford Crossings,2.5,17,3,0.20069114995909848
Carmel,1,Rose & Lois,5.0,84,54,0.40364048784728196
Carmel,2,Penn & Beech Candle Co.,5.0,74,39,0.4031577824492526
Carmel,3,Joe's Next Door,5.0,57,57,0.40258745175986876
Carmel,4,InCycle,5.0,32,199,0.4024134053559277
Carmel,5,Mears Automotive - Carmel,5.0,56,7,0.4022601462400106
Carney's Point,1,Denny's,2.5,32,44,0.20152164407946252
Carneys Point,1,Lapp's Olympia Dairy Bar,4.5,29,41,0.3613854624078905
Carneys Point,2,Flying J Travel Center,3.0,17,313,0.2424746725120288
Carneys Point,3,Holiday Inn Express & Suites Carneys Point - Pennsville,3.0,24,32,0.24113547976103902
Carneys Point,4,Comfort Inn & Suites,2.5,24,12,0.20102041378988225
Carpinteria,1,Canzelle Alpacas,5.0,130,94,0.4056940870200395
Carpinteria,2,Padaro Beach Grill,4.5,885,1605,0.4043159680753964
Carpinteria,3,Apiary,5.0,84,145,0.40416403801604533
Carpinteria,4,Seaside Gardens,5.0,82,157,0.4041537964148071
Carpinteria,5,Chocolats du Calibressan,5.0,63,69,0.4028943348943599
Carrollwood,1,Take 5 Oil Change,4.5,20,5,0.3608215783321127
Carrollwood,2,Eyeglass World,4.0,19,7,0.32079344433726226
Carrollwood,3,Chick-fil-A,3.5,47,389,0.2841011409614098
Carrollwood,4,Michaels,3.5,19,142,0.28157013964257055
Carrollwood,5,Applebee's Grill + Bar,2.5,83,197,0.20442356894908684
Carson City,1,Carson City Towing,3.0,34,3,0.2413650400225234
Carversville,1,The Carversville Kitchen,4.5,35,35,0.3615887861683405
Carversville,2,The Carversville Inn,3.5,72,22,0.28298069518983693
Casa Adobes,1,Starbucks,3.0,35,362,0.24347011479675407
Casas Adobes,1,Dosa Express,4.0,17,11,0.32073717634756127
